state,group,rurality,year,half_year,suppression_used,total_prescriptions,chipMedicaidEnroll
ia,1,2,2015,2,FALSE,20452,608837
ia,1,2,2015,2,TRUE,0,608837
ia,1,2,2016,1,FALSE,21638,618152
ia,1,2,2016,1,TRUE,0,618152
ia,1,2,2016,2,FALSE,16851,622071
ia,1,2,2016,2,TRUE,0,622071
id,0,2,2011,1,FALSE,3641,239837
id,0,2,2011,1,TRUE,0,239837
id,0,2,2011,2,FALSE,4055,242771
id,0,2,2011,2,TRUE,0,242771
id,0,2,2012,1,FALSE,4279,245422
id,0,2,2012,1,TRUE,0,245422
id,0,2,2012,2,FALSE,4599,252817
id,0,2,2012,2,TRUE,0,252817
id,0,2,2013,1,FALSE,4663,255440
id,0,2,2013,1,TRUE,0,255440
id,0,2,2013,2,FALSE,4869,260766
id,0,2,2013,2,TRUE,0,260766
id,0,2,2014,1,FALSE,5063,275274
id,0,2,2014,1,TRUE,0,275274
id,0,2,2014,2,FALSE,4738,271992
id,0,2,2014,2,TRUE,0,271992
id,0,2,2015,1,FALSE,5108,277538
id,0,2,2015,1,TRUE,0,277538
id,0,2,2015,2,FALSE,5322,282440
id,0,2,2015,2,TRUE,0,282440
id,0,2,2016,1,FALSE,5834,289367
id,0,2,2016,1,TRUE,0,289367
id,0,2,2016,2,FALSE,5334,299841
id,0,2,2016,2,TRUE,0,299841
il,1,1,2011,1,FALSE,50947,2809771
il,1,1,2011,1,TRUE,0,2809771
il,1,1,2011,2,FALSE,19735,2861480
il,1,1,2011,2,TRUE,0,2861480
il,1,1,2012,1,FALSE,45258,2873461
il,1,1,2012,1,TRUE,0,2873461
il,1,1,2012,2,FALSE,50596,2838352
il,1,1,2012,2,TRUE,0,2838352
il,1,1,2013,1,FALSE,50612,2854838
il,1,1,2013,1,TRUE,0,2854838
il,1,1,2013,2,FALSE,54182,2941257
il,1,1,2013,2,TRUE,0,2941257
il,1,1,2014,1,FALSE,81764,3003141
il,1,1,2014,1,TRUE,0,3003141
il,1,1,2014,2,FALSE,88998,3126814
il,1,1,2014,2,TRUE,0,3126814
il,1,1,2015,1,FALSE,85351,3163868
il,1,1,2015,1,TRUE,0,3163868
il,1,1,2015,2,FALSE,143458,3134109
il,1,1,2015,2,TRUE,0,3134109
il,1,1,2016,1,FALSE,142894,3123639
il,1,1,2016,1,TRUE,0,3123639
il,1,1,2016,2,FALSE,137722,3065331
il,1,1,2016,2,TRUE,0,3065331
ks,0,2,2011,1,FALSE,7011,370994
ks,0,2,2011,1,TRUE,0,370994
ks,0,2,2011,2,FALSE,7228,383901
ks,0,2,2011,2,TRUE,0,383901
ks,0,2,2012,1,FALSE,8076,389778
ks,0,2,2012,1,TRUE,0,389778
ks,0,2,2012,2,FALSE,8617,393602
ks,0,2,2012,2,TRUE,0,393602
ks,0,2,2013,1,FALSE,1059,414763
ks,0,2,2013,1,TRUE,0,414763
ks,0,2,2013,2,FALSE,4482,406401
ks,0,2,2013,2,TRUE,0,406401
ks,0,2,2014,1,FALSE,20655,404319
ks,0,2,2014,1,TRUE,0,404319
ks,0,2,2014,2,FALSE,14153,400885
ks,0,2,2014,2,TRUE,0,400885
ks,0,2,2015,1,FALSE,11581,405613
ks,0,2,2015,1,TRUE,0,405613
ks,0,2,2015,2,FALSE,10345,407388
ks,0,2,2015,2,TRUE,0,407388
ks,0,2,2016,1,FALSE,10745,420386
ks,0,2,2016,1,TRUE,0,420386
ks,0,2,2016,2,FALSE,13729,408885
ks,0,2,2016,2,TRUE,0,408885
ky,1,3,2011,1,FALSE,35047,861523
ky,1,3,2011,1,TRUE,0,861523
ky,1,3,2011,2,FALSE,38104,865706
ky,1,3,2011,2,TRUE,0,865706
ky,1,3,2012,1,FALSE,30581,866031
ky,1,3,2012,1,TRUE,0,866031
ky,1,3,2012,2,FALSE,35463,870382
ky,1,3,2012,2,TRUE,0,870382
ky,1,3,2013,1,FALSE,35668,867170
ky,1,3,2013,1,TRUE,0,867170
ky,1,3,2013,2,FALSE,24700,847644
ky,1,3,2013,2,TRUE,0,847644
ky,1,3,2014,1,FALSE,23023,1054115
ky,1,3,2014,1,TRUE,0,1054115
ky,1,3,2014,2,FALSE,66933,1073384
ky,1,3,2014,2,TRUE,0,1073384
ky,1,3,2015,1,FALSE,113547,1117207
ky,1,3,2015,1,TRUE,0,1117207
ky,1,3,2015,2,FALSE,106933,1179314
ky,1,3,2015,2,TRUE,0,1179314
ky,1,3,2016,1,FALSE,97345,1225842
ky,1,3,2016,1,TRUE,0,1225842
ky,1,3,2016,2,FALSE,90815,1230475
ky,1,3,2016,2,TRUE,0,1230475
ma,1,1,2011,1,FALSE,21025,1306943
ma,1,1,2011,1,TRUE,0,1306943
ma,1,1,2011,2,FALSE,20686,1304413
ma,1,1,2011,2,TRUE,0,1304413
ma,1,1,2012,1,FALSE,23184,1352214
ma,1,1,2012,1,TRUE,0,1352214
ma,1,1,2012,2,FALSE,21816,1370370
ma,1,1,2012,2,TRUE,0,1370370
ma,1,1,2013,1,FALSE,25372,1392502
ma,1,1,2013,1,TRUE,0,1392502
ma,1,1,2013,2,FALSE,22716,1398075
ma,1,1,2013,2,TRUE,0,1398075
ma,1,1,2014,1,FALSE,27243,1469714
ma,1,1,2014,1,TRUE,0,1469714
ma,1,1,2014,2,FALSE,27214,1586233
ma,1,1,2014,2,TRUE,0,1586233
ma,1,1,2015,1,FALSE,29740,1642613
ma,1,1,2015,1,TRUE,0,1642613
ma,1,1,2015,2,FALSE,30557,1676400
ma,1,1,2015,2,TRUE,0,1676400
ma,1,1,2016,1,FALSE,36352,1665649
ma,1,1,2016,1,TRUE,0,1665649
ma,1,1,2016,2,FALSE,39098,1655529
ma,1,1,2016,2,TRUE,0,1655529
md,1,1,2011,1,FALSE,14777,945318
md,1,1,2011,1,TRUE,0,945318
md,1,1,2011,2,FALSE,15735,968438
md,1,1,2011,2,TRUE,0,968438
md,1,1,2012,1,FALSE,16824,986763
md,1,1,2012,1,TRUE,0,986763
md,1,1,2012,2,FALSE,18061,1009705
md,1,1,2012,2,TRUE,0,1009705
md,1,1,2013,1,FALSE,18713,1033249
md,1,1,2013,1,TRUE,0,1033249
md,1,1,2013,2,FALSE,18108,1064852
md,1,1,2013,2,TRUE,0,1064852
md,1,1,2014,1,FALSE,22919,1156628
md,1,1,2014,1,TRUE,0,1156628
md,1,1,2014,2,FALSE,25638,1143810
md,1,1,2014,2,TRUE,0,1143810
md,1,1,2015,1,FALSE,26641,1189192
md,1,1,2015,1,TRUE,0,1189192
md,1,1,2015,2,FALSE,30719,1162313
md,1,1,2015,2,TRUE,0,1162313
md,1,1,2016,1,FALSE,33449,1229447
md,1,1,2016,1,TRUE,0,1229447
md,1,1,2016,2,FALSE,32857,1281890
