year,state,halfyear,suppression,totalRX
2012,OK,1,F,8076
2012,OK,1,T,0
2012,OK,2,F,11306
2012,OK,2,T,0
2012,OR,1,F,9559
2012,OR,1,T,0
2012,OR,2,T,0
2012,OR,2,F,7578
2012,PA,1,F,22246
2012,PA,1,T,0
2012,PA,2,T,0
2012,PA,2,F,20228
2012,RI,1,T,0
2012,RI,1,F,1795
2012,RI,2,T,0
2012,RI,2,F,1215
2012,SC,1,F,6450
2012,SC,1,T,0
2012,SC,2,T,0
2012,SC,2,F,7310
2012,SD,1,T,0
2012,SD,1,F,1057
2012,SD,2,T,0
2012,SD,2,F,925
2012,TN,1,F,13957
2012,TN,1,T,0
2012,TN,2,T,0
2012,TN,2,F,18348
2012,TX,1,F,9762
2012,TX,1,T,0
2012,TX,2,F,9818
2012,TX,2,T,0
2012,UT,1,T,0
2012,UT,1,F,2257
2012,UT,2,T,0
2012,UT,2,F,2342
2012,VA,1,F,14226
2012,VA,1,T,0
2012,VA,2,F,21357
2012,VA,2,T,0
2012,VT,1,F,2175
2012,VT,1,T,0
2012,VT,2,F,2133
2012,VT,2,T,0
2012,WA,1,T,0
2012,WA,1,F,9986
2012,WA,2,T,0
2012,WA,2,F,6173
2012,WI,1,T,0
2012,WI,1,F,19899
2012,WI,2,T,0
2012,WI,2,F,20490
2012,WV,1,F,5886
2012,WV,1,T,0
2012,WV,2,F,5778
2012,WV,2,T,0
2012,WY,1,T,0
2012,WY,1,F,1225
2012,WY,2,T,0
2012,WY,2,F,1140
2013,AK,1,T,0
2013,AK,1,F,1821
2013,AK,2,T,0
2013,AK,2,F,1445
2013,AL,1,T,0
2013,AL,1,F,14425
2013,AL,2,T,0
2013,AL,2,F,12555
2013,AR,1,T,0
2013,AR,1,F,2931
2013,AR,2,T,0
2013,AR,2,F,2740
2013,AZ,1,T,0
2013,AZ,1,F,9011
2013,AZ,2,T,0
2013,AZ,2,F,11309
2013,CA,1,T,0
2013,CA,1,F,42623
2013,CA,2,T,0
