state,group,year,halfyear,chipMedicaidEnroll,suppression,totalRX
ID,0,2013,1,255440,T,0
ID,0,2013,2,260766,F,3889
ID,0,2013,2,260766,T,0
ID,0,2014,1,275274,F,4077
ID,0,2014,1,275274,T,0
ID,0,2014,2,271992,F,3956
ID,0,2014,2,271992,T,0
ID,0,2015,1,277538,F,4165
ID,0,2015,1,277538,T,0
ID,0,2015,2,282440,F,4141
ID,0,2015,2,282440,T,0
ID,0,2016,1,289367,F,4503
ID,0,2016,1,289367,T,0
ID,0,2016,2,299841,T,0
ID,0,2016,2,299841,F,4020
IL,1,2011,1,2809771,F,18816
IL,1,2011,1,2809771,T,0
IL,1,2011,2,2861480,T,0
IL,1,2011,2,2861480,F,8030
IL,1,2012,1,2873461,F,16254
IL,1,2012,1,2873461,T,0
IL,1,2012,2,2838352,F,18079
IL,1,2012,2,2838352,T,0
IL,1,2013,1,2854838,T,0
IL,1,2013,1,2854838,F,25915
IL,1,2013,2,2941257,F,16895
IL,1,2013,2,2941257,T,0
IL,1,2014,1,3003141,F,20519
IL,1,2014,1,3003141,T,0
IL,1,2014,2,3126814,T,0
IL,1,2014,2,3126814,F,25318
IL,1,2015,1,3163868,T,0
IL,1,2015,1,3163868,F,26268
IL,1,2015,2,3134109,T,0
IL,1,2015,2,3134109,F,39823
IL,1,2016,1,3123639,T,0
IL,1,2016,1,3123639,F,42352
IL,1,2016,2,3065331,T,0
IL,1,2016,2,3065331,F,39859
IN,0,2011,1,1061894,F,14216
IN,0,2011,1,1061894,T,0
IN,0,2011,2,1084143,F,12803
IN,0,2011,2,1084143,T,0
IN,0,2012,1,1109776,T,0
IN,0,2012,1,1109776,F,19981
IN,0,2012,2,1102466,T,0
IN,0,2012,2,1102466,F,16796
IN,0,2013,1,1115355,T,0
IN,0,2013,1,1115355,F,16786
IN,0,2013,2,1075341,F,14800
IN,0,2013,2,1075341,T,0
IN,0,2014,1,1201274,F,16889
IN,0,2014,1,1201274,T,0
IN,0,2014,2,1216683,F,19090
IN,0,2014,2,1216683,T,0
IN,0,2015,1,1341018,T,0
IN,0,2015,1,1341018,F,19826
IN,0,2015,2,1437538,F,24435
IN,0,2015,2,1437538,T,0
IN,0,2016,1,1476940,T,0
IN,0,2016,1,1476940,F,30280
IN,0,2016,2,1508219,T,0
IN,0,2016,2,1508219,F,27985
KS,0,2011,1,370994,F,5362
KS,0,2011,1,370994,T,0
KS,0,2011,2,383901,T,0
KS,0,2011,2,383901,F,5431
KS,0,2012,1,389778,F,5939
KS,0,2012,1,389778,T,0
KS,0,2012,2,393602,T,0
KS,0,2012,2,393602,F,6093
KS,0,2013,1,414763,T,0
KS,0,2013,1,414763,F,866
KS,0,2013,2,406401,T,0
KS,0,2013,2,406401,F,2895
KS,0,2014,1,404319,F,11976
KS,0,2014,1,404319,T,0
KS,0,2014,2,400885,F,8628
KS,0,2014,2,400885,T,0
KS,0,2015,1,405613,F,6759
KS,0,2015,1,405613,T,0
